SKILLSET BREAKDOWN,,,Master copy is Excel file in Dietrich\Careers on main computer ,,,,,,,,,,,,
"as of  Feb. 9, 2024, last updated Jan. 25, 2024",,,YEARS USED AT DIFFERENT JOBS,,,,,,,,,,,,
Skill,LAST USED,TOTAL YEARS USED,ITI,NIS,Magellan,USNR,Mentor,Harland,ProDX,NeumanS.S.,Franklin Revere,"Microsoft '04, SDET","Microsoft '05, ADO prog/wri ",Nexelis/ PacBio,CGI
TOTAL TIME AT JOBS,,,5.2,1.8,0.6,3.2,0.7,1.3,0.6,1.1,0.3,1,0.3,15.8,2.6
,,,,,,,,,,,,,,,
HIGH-LEVEL LANGUAGES,,,,,,,,,,,,,,,
C#,2024,17.8,,,,,,,,,,0.8,0.2,15,1.8
C++,2005,7.4,,,,3.2,0.7,1.3,0.6,0.2,0.3,0.9,0.2,,
Visual C++ (with Visual Studio),2005,6.8,,,,3.2,0.3,1.3,0.6,0.2,0.3,0.7,0.2,,
Visual C++ .NET,2005,1.1,,,,,,,,,,0.9,0.2,,
C ,2005,9.8,1,1,0.3,3.2,0.7,1.3,0.6,0.2,0.3,1,0.2,,
Pascal,1998,8.7,5.2,1,,2.5,,,,,,,,,
Visual Basic (VB),2008,1.2,,,,,,,,0.3,,0.4,0.2,0.3,
Visual Basic .NET,2005,0.2,,,,,,,,,,,0.2,,
Visual Basic for Applications (VBA),2023,5.9,,,,,,,,0.3,,,,4.5,1.1
FORTRAN,1993,0.5,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SCRIPTING AND OTHER LANGUAGES,,,,,,,,,,,,,,,
JavaScript,2024,1.7,,,,,,,,0.3,,0.7,,0.5,0.2
Korn Shell,2003,0.9,,,,,0.7,,,0.2,,,,,
HTML,2024,3.5,,,,,0.1,,0.2,1.3,,0.7,,1,0.2
DHTML,2008,1.5,,,,,,,,0.3,,0.7,,0.5,
XML,2008,1.5,,,,,,,,,,0.4,0.2,0.9,
Perl,2005,1.4,,,,,,,,0.3,0.1,1,,,
MSIL,2005,0.3,,,,,,,,,,0.3,,,
VAX MACRO assembler,1998,1.1,0.5,0.4,,0.2,,,,,,,,,
x86 assembler,1998,0.3,,,,0.3,,,,,,,,,
VMS DCL,1998,5.4,4,1,,0.4,,,,,,,,,
Windows NT batch script,2023,9.9,,,,,,0.2,0.2,0.4,,1,,6,2.1
Regex,2023,8.1,,,,,,,,,,,,6,2.1
PowerShell,2023,0.8,,,,,,,,,,,,,0.8
,,,,,,,,,,,,,,,
OPERATING SYSTEMS,,,,,,,,,,,,,,,
Windows,2024,28.2,0.5,0.5,,3.2,0.7,1.3,0.6,1.5,0.3,1,0.3,15.7,2.6
Windows 10,2024,5.8,,,,,,,,,,,,3.2,2.6
Windows 7,2020,6.3,,,,,,,,,,,,6.3,
Windows 98,2003,1.1,,,,,,,,1.1,,,,,
Windows XP,2014,10.3,,,,,,,,0.3,,1,0.3,8.7,
Windows NT/2000,2005,6.8,,,,3.2,0.7,1.3,0.6,0.3,0.3,0.4,,,
Windows Server,2023,16.1,,,,,,,,,,1,,13,2.1
"UNIX, all flavors",2003,2.5,0.7,0.3,0.6,,0.7,,,0.2,,,,,
HPUX,1999,0.7,,,,,0.7,,,,,,,,
Solaris,1999,0.7,,,,,0.7,,,,,,,,
SunOS,1999,0.7,,,,,0.7,,,,,,,,
AIX,1999,1,0.3,,,,0.7,,,,,,,,
NetBSD,2003,0.2,,,,,,,,0.2,,,,,
VAX ELN,1998,2.8,,,,2.8,,,,,,,,,
VMS,1998,10,5,1.8,,3.2,,,,,,,,,
OpenVMS,1993,1,,1,,,,,,,,,,,
MS-DOS,2008,3.5,1.5,1,0.2,,,,,0.2,,,,0.6,
QNX,1994,0.6,,,0.6,,,,,,,,,,
RSX,1993,5.8,4,1.8,,,,,,,,,,,
TSX,1993,2.8,1,1.8,,,,,,,,,,,
RSTS,1993,2.8,1,1.8,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
